Date,Company,Channel,Lang,Title,URL
2026-05-25,Metro Brands Ltd,ET NOW,English,Metro Brands CEO Reveals Big Growth Plans For Clarks & Crocs In India | Business News | ET Now,https://www.youtube.com/watch?v=A0zjk8Vi3vM
2026-05-25,Fortis Healthcare Ltd,Zee Business,Hindi,Fortis Healthcare CFO Vivek Goyal On Growth And Future Strategy,https://www.youtube.com/watch?v=lBVx9oFR1AA
2026-05-24,Shankara Buildpro Ltd,Zee Business,Hindi,Shankara Buildpro MD Sukumar Srinivas Reveals Future Expansion and Growth Plans,https://www.youtube.com/watch?v=_3ELq30JJLs
2026-05-24,Welspun Living Ltd,Zee Business,Hindi,"Welspun Living CEO Dipali Goenka Talks Business, Growth and Challenges",https://www.youtube.com/watch?v=9akUqK5xUSM
2026-05-24,Sammaan Capital Ltd,Zee Business,Hindi,Is Sammaan Capital Finally Cleaning Up Its Balance Sheet? Deputy CEO Himanshu Mody Explains,https://www.youtube.com/watch?v=nrkx1-xkxYY
2026-05-22,Bikaji Foods International Ltd,ET NOW Swadesh,Hindi,"Bikaji Foods के Q4 Results, आय, EBITDA और मार्जिन पर COO Manoj Verma & CFO Rishabh Jain का Outlook",https://www.youtube.com/watch?v=YbugKOJNfVE
2026-05-22,Metro Brands Ltd,ET NOW Swadesh,Hindi,"Metro Brands के Q4 Results, EBITDA, Margin, आय और मुनाफा पर CFO Kaushal Parikh का Outlook | ETNS",https://www.youtube.com/watch?v=laQupE2OSu0
2026-05-21,EPACK Durable Ltd,ET NOW,English,Why EPACK Durable Stock Is Under Pressure? CEO Explains Margin Collapse & Growth Roadmap |ET Now,https://www.youtube.com/watch?v=mcmtbmeQ6y8
2026-05-21,Metro Brands Ltd,CNBC Awaaz,Hindi,Metro Brands Q4 Results: नतीजों और ग्रोथ आउटलुक पर CFO Kaushal Parekh ने क्या कहा ?,https://www.youtube.com/watch?v=OAuq66VcYVI
2026-05-21,Sammaan Capital Ltd,CNBC Awaaz,Hindi,Sammaan Capital के नतीजों और कंपनी की ग्रोथ स्ट्रैटेजी को लेकर MD & CEO Gagan Banga से जानिए आउटलुक,https://www.youtube.com/watch?v=vnU_0ZZh2_k
2026-05-20,Mankind Pharma Ltd,ET NOW Swadesh,Hindi,"Mankind Pharma के Q4 Results, कारोबार, आय, मुनाफा और EBITDA पर MD & VC Rajeev Juneja का Outlook",https://www.youtube.com/watch?v=gCXLQ8I6vR4
2026-05-20,Astral Ltd,CNBC Awaaz,Hindi,Astral के Q4 नतीजों और कंपनी ग्रोथ स्ट्रैटेजी पर CFO Hiranand Savlani से जानिए Outlook,https://www.youtube.com/watch?v=uSrsFIbniV8
